,data,time_casa,time_visitante,resultado,id_partida,link
217,27/08/2017 19:00h,Avaí,Chapecoense,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/chapecoense/2419185/1/live
218,28/08/2017 20:00h,Coritiba,Vitória,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/coritiba/vitoria/2419181/1/live
219,02/09/2017 16:00h,Grêmio,Sport,5-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/sport/2419182/1/live
220,09/09/2017 16:00h,Atlético MG,Palmeiras,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-mg/palmeiras/2419190/1/live
221,09/09/2017 18:00h,Vasco,Grêmio,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vasco/gremio/2419187/1/live
222,09/09/2017 19:00h,São Paulo,Ponte Preta,2-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/ponte-preta/2419189/1/live
223,10/09/2017 11:00h,Atlético PR,Coritiba,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/coritiba/2419191/1/live
224,10/09/2017 16:00h,Santos,Corinthians,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/corinthians/2419188/1/live
225,10/09/2017 16:00h,Sport,Avaí,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sport/avai/2419192/1/live
226,10/09/2017 16:00h,Vitória,Fluminense,2-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/fluminense/2419193/1/live
227,10/09/2017 19:00h,Botafogo,Flamengo,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/flamengo/2419186/1/live
228,10/09/2017 19:00h,Chapecoense,Cruzeiro,1-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/chapecoense/cruzeiro/2419195/1/live
229,11/09/2017 20:00h,Atlético GO,Bahia,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-go/bahia/2419194/1/live
230,16/09/2017 19:00h,Botafogo,Santos,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/botafogo/santos/2419196/1/live
231,16/09/2017 21:00h,Ponte Preta,Atlético GO,1-3,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/ponte-preta/atletico-go/2419204/1/live
232,17/09/2017 11:00h,Avaí,Atlético MG,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/avai/atletico-mg/2419205/1/live
233,17/09/2017 16:00h,Atlético PR,Fluminense,3-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/atletico-pr/fluminense/2419201/1/live
234,17/09/2017 16:00h,Grêmio,Chapecoense,0-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/gremio/chapecoense/2419202/1/live
235,17/09/2017 16:00h,Vitória,São Paulo,1-2,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/vitoria/sao-paulo/2419203/1/live
236,17/09/2017 16:00h,Flamengo,Sport,2-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/sport/2419197/1/live
237,17/09/2017 16:00h,Corinthians,Vasco,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/corinthians/vasco/2419199/1/live
238,17/09/2017 19:00h,Cruzeiro,Bahia,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/cruzeiro/bahia/2419200/1/live
239,18/09/2017 20:00h,Palmeiras,Coritiba,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/palmeiras/coritiba/2419198/1/live
240,23/09/2017 19:00h,Flamengo,Avaí,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/flamengo/avai/2419207/1/live
241,23/09/2017 21:00h,Santos,Atlético PR,1-0,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/santos/atletico-pr/2419208/1/live
242,24/09/2017 11:00h,São Paulo,Corinthians,1-1,gsm_id_2419167,https://www.academiadasapostasbrasil.com/stats/match/brasil-stats/brasileirao-serie-a/sao-paulo/corinthians/2419209/1/live
